mass,O3,N2,sSFR
8.23,0.72,-1.7,0.7828376704054794
9.11,0.81,-1.68,1.2674887336452256
8.98,0.83,-1.7,0.8730899945862323
9.02,0.67,-1.67,-0.2565724766974089
9.2,0.69,-1.68,-0.46760603218485564
8.35,0.75,-1.66,0.9638668268360622
9.18,0.63,-1.64,0.013124277248852678
9.43,0.7,-1.65,-0.11402997372479895
9.24,0.86,-1.64,0.7223695681651652
8.73,0.73,-1.63,0.7669301203462187
9.4,0.83,-1.63,0.29983812717771485
8.97,0.69,-1.61,0.5310590056413211
8.36,0.75,-1.6,0.8102620643146778
9.22,0.8,-1.61,0.08962989227600104
9.09,0.81,-1.62,1.0460859544845222
9.14,0.84,-1.61,1.0619427221601798
9.38,0.66,-1.59,-0.23698531865634287
8.79,0.71,-1.59,0.8280481448391974
9.3,0.72,-1.58,-0.9382723468389322
9.1,0.75,-1.59,0.9090253622398095
9.12,0.77,-1.58,0.8645274106168142
8.46,0.83,-1.58,1.0877746637209444
9.28,0.86,-1.58,0.7336799514773507
9.23,0.66,-1.56,-0.6389349511396567
9.26,0.73,-1.58,-0.24716301624002845
9.23,0.84,-1.57,0.9469594306347364
8.43,0.46,-1.55,-0.2539090288627879
8.55,0.55,-1.54,0.6701078885725753
9.47,0.67,-1.55,0.036504770537128195
8.67,0.69,-1.56,0.7244516078723962
9.36,0.78,-1.54,0.009216184803069183
9.13,0.82,-1.56,0.7409886892857962
9.84,0.56,-1.53,-0.23361879157803322
9.25,0.58,-1.54,-0.7059319630457157
9.15,0.68,-1.54,-0.27493835513857334
9.12,0.71,-1.53,0.05318638563289291
9.82,0.73,-1.53,-0.21147366736784434
8.64,0.75,-1.53,0.8056038540128441
9.11,0.83,-1.54,0.701575350471666
9.15,0.55,-1.52,-0.6586379213558757
9.98,0.66,-1.51,-0.44852061301244106
9.25,0.69,-1.51,0.5894780377840281
8.84,0.71,-1.51,0.8947996632713817
8.44,0.73,-1.52,0.9063533996643045
8.61,0.75,-1.52,0.533015139107329
8.79,0.8,-1.51,0.6971384041804178
8.74,0.63,-1.49,0.2467719759576319
9.32,0.7,-1.5,0.32147442702715523
9.15,0.71,-1.49,0.1680637005026604
8.22,0.73,-1.49,0.683089726434627
9.69,0.75,-1.49,-0.20569974782627654
9.37,0.78,-1.48,0.41390368826397506
8.42,0.55,-1.46,0.5531277762042226
8.66,0.6,-1.47,0.25907823623134796
9.49,0.65,-1.47,0.24399952153351379
9.13,0.78,-1.46,1.1310247141018017
9.41,0.81,-1.48,-0.28614819243156653
8.46,0.83,-1.47,0.7131862330450023
8.49,0.56,-1.45,0.25036292778915836
8.94,0.6,-1.46,0.13554740189202796
9.41,0.64,-1.45,-0.3530950015253147
8.64,0.65,-1.46,0.36859982031807625
9.02,0.7,-1.45,0.48105881490645785
8.78,0.71,-1.45,0.8939422463581064
9.04,0.73,-1.45,1.4394313731474915
9.29,0.76,-1.44,0.3142260891708677
9.26,0.78,-1.45,0.6829993871528739
8.57,0.53,-1.43,0.1289703095118
9.1,0.54,-1.43,-1.1969104041850205
8.78,0.57,-1.43,0.04607508054765219
8.72,0.63,-1.43,0.5722558127802291
9.38,0.65,-1.43,-0.393228367365122
8.78,0.66,-1.42,0.6481350718756147
9.36,0.69,-1.43,-0.14781205354376503
9.34,0.7,-1.43,-0.028246301633977566
9.61,0.72,-1.43,0.04705619253073401
9.17,0.75,-1.43,0.5904224243865777
9.23,0.77,-1.42,0.9569567964606218
9.4,0.79,-1.44,0.6996810199451104
9.27,0.81,-1.42,0.8832044283498295
9.09,0.44,-1.41,-0.6276021671856089
9.33,0.47,-1.41,-0.6310299193700359
8.65,0.52,-1.42,-0.3075769400613364
8.81,0.56,-1.4,-0.20794042181724492
10.29,0.57,-1.41,-0.8973030035628895
8.45,0.62,-1.41,0.41923191606280596
8.84,0.65,-1.41,0.12848279930616968
9.83,0.69,-1.42,0.19160280178004818
8.96,0.71,-1.41,0.568916676835137
9.3,0.73,-1.41,0.4363962963426786
9.08,0.75,-1.41,0.32140061378838247
8.93,0.77,-1.42,0.8111513117163156
9.22,0.79,-1.42,1.0417382912051867
9.42,0.5,-1.39,-0.5811509870573257
9.54,0.53,-1.39,-0.7841251116302139
8.73,0.56,-1.39,0.09607527128251547
9.44,0.59,-1.39,0.14883215802045768
8.79,0.61,-1.39,0.11848505830394274
8.96,0.63,-1.4,0.6653123912226135
8.75,0.65,-1.39,0.6409351138379407
9.45,0.66,-1.4,0.20609841286217723
8.64,0.69,-1.38,0.15934020284372075
9.03,0.71,-1.39,0.723583331765461
8.74,0.73,-1.39,1.4633051522820057
9.05,0.74,-1.38,0.9451961159384705
8.34,0.35,-1.36,-0.4949021107246363
9.3,0.45,-1.36,-1.2208189543944759
9.26,0.53,-1.36,-0.8286364474655361
9.25,0.55,-1.36,-0.7059319630457157
9.84,0.56,-1.36,-0.4561847729157087
9.26,0.6,-1.38,-0.9377809477072336
9.36,0.61,-1.37,-0.2596291148467902
9.13,0.63,-1.37,0.5393167732202766
9.05,0.65,-1.37,0.445544162690517
9.27,0.66,-1.37,-0.09681418657169694
9.09,0.68,-1.37,0.2660257009561082
9.24,0.71,-1.37,0.8203202489189358
9.14,0.72,-1.36,0.8651801642698551
9.23,0.75,-1.37,1.0903544874121387
9.4,0.78,-1.38,1.0060293147252004
9.06,0.78,-1.36,0.7407166704618238
9.22,0.41,-1.34,-1.2200002605573168
9.06,0.46,-1.35,-1.214902377753445
8.88,0.55,-1.34,0.1493836845336851
8.8,0.58,-1.34,-0.04412534051204986
9.16,0.63,-1.35,-0.15567847773021448
9.21,0.65,-1.36,0.15735586865842777
9.79,0.67,-1.35,0.09761732667977974
9.08,0.69,-1.35,0.6923217886138318
9.12,0.71,-1.35,0.31775067877289587
9.67,0.75,-1.35,0.30266553185109757
9.44,0.82,-1.35,0.16852644707307363
9.28,0.82,-1.34,1.0610389047499318
9.73,0.41,-1.33,-1.0865468681034098
9.02,0.43,-1.32,-0.6582726138677408
8.84,0.44,-1.33,-0.26021656142075855
9.35,0.47,-1.32,-0.8728791094927519
9.66,0.5,-1.32,-0.5772144634039069
8.92,0.52,-1.34,-0.12065953012747066
9.48,0.53,-1.34,-0.9614855851011281
9.15,0.55,-1.33,-0.7697883865259048
8.24,0.57,-1.33,0.7237880641057295
9.31,0.59,-1.33,-0.42350970520202225
9.63,0.6,-1.33,-0.36518228355304316
9.07,0.63,-1.33,0.09731764837651902
9.03,0.66,-1.33,0.47920279192446635
9.18,0.67,-1.33,0.4295941223667814
8.81,0.7,-1.32,0.5610674250305472
9.02,0.71,-1.33,1.0101943384110958
9.02,0.73,-1.32,0.6174892870179818
8.58,0.74,-1.34,0.8778819557104942
9.22,0.43,-1.31,-1.106056930651798
8.93,0.49,-1.31,-0.39852138356541467
9.31,0.53,-1.31,-0.9675777411477622
9.98,0.54,-1.31,-0.6577802672250517
9.78,0.57,-1.31,-0.7081177449698561
8.8,0.59,-1.31,0.16848276115919703
8.85,0.61,-1.31,0.5813633903591775
9.12,0.63,-1.31,0.13527260803934915
9.16,0.65,-1.31,0.06788687190601905
9.18,0.67,-1.31,0.096461495710356
9.38,0.7,-1.31,0.9498044247785753
9.51,0.7,-1.31,-0.1616953621190973
9.24,0.75,-1.31,0.007973490563692565
8.02,0.43,-1.28,-0.1169104804789658
9.11,0.46,-1.29,-1.33184841600084
8.53,0.49,-1.29,-0.14978850096682272
9.12,0.51,-1.28,-1.0060565491820714
8.62,0.53,-1.29,0.14342809550718094
9.45,0.55,-1.29,-0.24587982013771992
9.08,0.57,-1.29,0.2544538447021871
9.34,0.59,-1.28,0.05093496125005004
8.75,0.61,-1.29,0.318185845816334
9.49,0.63,-1.29,-0.277812167984683
9.64,0.65,-1.29,0.14031698392827785
9.2,0.68,-1.3,0.2742164575908195
9.59,0.7,-1.29,-0.6657208800853258
10.23,0.71,-1.28,0.1751760052851239
9.55,0.73,-1.29,0.9728351467845595
9.27,0.76,-1.29,0.5103168694873599
9.3,0.82,-1.29,1.0443920904466362
9.45,0.36,-1.26,-1.3360564728881261
9.3,0.43,-1.28,-0.7685212691244967
9.2,0.47,-1.27,0.02271665072202822
8.39,0.5,-1.28,0.30019574515832126
9.55,0.51,-1.26,-0.5587741065898069
9.29,0.53,-1.27,-0.08317408196239917
9.34,0.54,-1.27,-0.426186303992365
9.24,0.57,-1.27,-0.017283311130999124
9.0,0.59,-1.27,0.17026172099192394
8.98,0.6,-1.27,-0.16045558943714688
9.43,0.63,-1.27,0.1428712981321194
9.26,0.65,-1.27,0.02330099011447473
9.42,0.67,-1.27,0.6529846655331362
8.92,0.7,-1.27,0.6980480303982795
9.78,0.71,-1.27,0.3750324946604344
9.43,0.73,-1.28,-0.2178127020423002
9.6,0.79,-1.28,0.4326183686231886
9.29,0.45,-1.24,-0.7986382646786296
9.11,0.49,-1.25,-0.6628416234860293
8.66,0.51,-1.25,0.09587500281070405
9.22,0.53,-1.26,-0.22877418288375218
9.08,0.55,-1.25,-0.015541946975810461
9.12,0.57,-1.25,-0.13772866222675262
9.21,0.59,-1.25,-0.05771170688919547
9.06,0.61,-1.25,0.4650443750566975
9.09,0.64,-1.25,0.5120598387400719
9.15,0.65,-1.25,0.6588862526883172
9.25,0.66,-1.25,0.3146660732804385
9.23,0.7,-1.25,0.8176646464272324
9.05,0.77,-1.26,0.9018228353257296
9.27,0.28,-1.23,-1.1560571213866613
9.21,0.31,-1.23,-1.2557575114503354
8.44,0.33,-1.22,-0.5369096030985947
9.6,0.36,-1.23,-1.486057045092716
9.31,0.38,-1.23,-1.1058804466680119
9.45,0.42,-1.22,-1.2739085329521433
9.08,0.43,-1.24,-1.1769099464213486
9.11,0.45,-1.23,-1.1557571299806089
9.41,0.47,-1.23,-0.7287586197437612
9.41,0.5,-1.24,-0.841798117748148
9.44,0.51,-1.23,-0.10154307347948333
8.88,0.53,-1.23,-0.2079022576067313
9.15,0.55,-1.23,-0.17687176603210553
9.01,0.57,-1.23,0.11710458030098891
8.97,0.59,-1.23,0.2730377816574858
9.17,0.61,-1.23,0.37406796805633036
