wave,flux
3500.637,1.065472
3501.598,1.008183
3502.559,0.9976794
3503.52,1.070215
3504.481,1.07627
3505.442,1.066216
3506.403,1.021497
3507.365,1.013471
3508.326,1.002765
3509.287,1.037859
3510.248,1.017721
3511.209,0.9690855
3512.17,0.9469991
3513.131,0.8729245
3514.093,0.656742
3515.054,0.7136584
3516.015,0.8512072
3516.976,0.9791556
3517.937,1.027165
3518.898,1.020388
3519.859,1.01995
3520.82,0.9975802
3521.781,1.016361
3522.743,0.9728003
3523.704,0.9374906
3524.665,0.9714042
3525.626,0.9898998
3526.587,0.9965396
3527.548,0.9998338
3528.51,1.066496
3529.471,1.028498
3530.432,1.04196
3531.393,1.077354
3532.354,1.090554
3533.315,1.057415
3534.276,1.06627
3535.237,1.078891
3536.198,1.070194
3537.16,1.057463
3538.121,1.059147
3539.082,1.031423
3540.043,1.038389
3541.004,1.02064
3541.965,1.063349
3542.927,1.057779
3543.888,1.093852
3544.849,1.041479
3545.81,1.038229
3546.771,1.051878
3547.732,1.05865
3548.693,1.047383
3549.654,1.046681
3550.615,1.051737
3551.577,1.060913
3552.538,1.042343
3553.499,1.035519
3554.46,1.036308
3555.421,1.045521
3556.382,1.052983
3557.344,1.012697
3558.305,1.017415
3559.266,1.004264
3560.227,1.022953
3561.188,1.042793
3562.149,1.041165
3563.11,1.027573
3564.071,0.9927483
3565.032,0.9862569
3565.994,1.013454
3566.955,1.006545
3567.916,1.034726
3568.877,0.9789125
3569.838,0.9743159
3570.799,1.019469
3571.76,1.006465
3572.722,1.002029
3573.683,1.01262
3574.644,1.011786
3575.605,0.9829009
3576.566,1.010019
3577.527,1.027355
3578.488,1.001001
3579.449,1.016655
3580.411,0.9831155
3581.372,0.9750177
3582.333,0.9638287
3583.294,0.9776051
3584.255,0.9802235
3585.216,0.9454778
3586.177,0.9164143
3587.139,0.9588547
3588.1,0.9551684
3589.061,0.941789
3590.022,0.9733828
3590.983,1.005318
3591.944,1.025637
3592.905,1.022119
3593.866,1.018167
3594.828,1.06138
